,id,text,label,language
0,724703995147751424,"american family association gets 500,000 to sign petition boycotting target over its transgender bathroom policy URL",unverified,Chinese
1,358591089462099968,this week's top story: george zimmerman wins florida state lottery URL,false,English
2,775672628493357057,clinton hides failing health? full disclosure now: covert doctors and nurses URL via @mailonline #maga @realdonaldtrump,unverified,English
3,364589696573124609,fukushima: highly radioactive water seeping into the ocean URL,false,Hindi
4,549927969032916993,"a transgender 17-year old left a suicide note on tumblr pleading: ""fix society"" URL URL",unverified,Hindi
5,730516765525082112,a canadian teen didn't find a lost mayan city: URL URL,unverified,Hindi
6,407187197427593217,"paul walker's character in fast and the furious was named brian"",brian from family guy also died this week,both deaths involved cars."" umm",true,Hindi
7,524933380929245184,"developing story: shots fired on parliament hill, soldier shot at war memorial URL #ottawa URL",true,Chinese
8,535148463609356288,this russian kid got zapped by a faulty electrical wire and now he's a real-life magneto URL URL,unverified,Chinese
9,742055437932040193,"because the orlando shooter who murdered gay people was a registered democrat and muslim, the media is going silent. URL",unverified,English
10,651486105628463105,black people can be so stubborn to change.... #5pbagcharge URL,unverified,Chinese
11,693284114724700160,boeing wins contract to build new air force one presidential jets URL URL,non-rumor,English
12,538760398003253248,karma🙀#ferguson protestor accidentally burns🔥down own house🏡 URL @sheepawoken @youngblkrepub #tcot URL,false,Hindi
13,544698560655400961,"the story of a 17-year-old stock whiz with a rumored net worth of $72 million made a splash, but quickly unraveled. URL",false,Chinese
14,714560810266132480,"letter to trump voters from his top strategist-turned-defector - i don’t know if this is real, but it’s believable. URL",unverified,Hindi
15,691064699853606913,nyc breaks record for snowiest day in its history URL #davidsnowie #blizzard2016 URL,non-rumor,English
16,691791477912014850,obama gently guides michelle’s hand as she maneuvers drone joystick URL URL,non-rumor,Chinese
17,516636338679197697,"kfc ban wipes because they offend muslims URL ban islam instead, why are there halal only kfc's? URL",false,English
18,387030572779847680,non-essential services shutdown? can someone explain to me how URL is essential while URL is not?,false,English
19,692142338890661888,"ex-new york giants safety tyler sash, who died at 27, found to have degenerative brain disease c.t.e. - ny times URL",non-rumor,Hindi
20,640182854928961536,plastic bag use in wales has dropped by 71 per cent since the 5p charge was introduced URL URL,unverified,English
21,407184730988097536,"my heart goes out to loved ones and fans of paul walker, who died in a car wreck saturday. word is he was a really good dude. #rippaulwalker",true,Hindi
22,525711899359318016,cdc whistleblower exposes ebola vaccinations containing rfid chips | national report URL via @wpusta,false,Hindi
23,427944719612915712,ex-marlboro man dies from smoking-related disease URL,true,Hindi
24,683731779342188545,oregon militiamen receive fitting nickname: #yallqaeda URL URL,non-rumor,English
25,531648145613398016,making my own doritos flavored mountain dew! URL,true,English
26,499456140044824576,st. louis co police tell me ofcr shot a man who pointed handgun at him at chambers & sheffingdell at about 1 a.m. man in critical. #ferguson,unverified,English
27,560163341524807680,islamic tribunal in texas operating under sharia law♨️@db10524 @lodisilverado @amymek #tcot URL URL,false,Hindi
28,693032076543655936,#zika virus: everything you need to know about the mosquito that spreads it URL URL,non-rumor,Hindi
29,692134022839955456,man at salad bar has to say every item aloud as he adds it to salad URL URL,non-rumor,English
30,745236050407194624,the big one: 'large scale motion' detected along san andreas fault URL URL,unverified,English
31,528607634099015680,#animaloftheday: the first afghan fanged deer was seen in more than 60 years! URL URL,true,Chinese
32,552810448324943872,"#charliehebdo shooting: gunmen shouted 'we have avenged the prophet"" during attack - reports URL URL",unverified,English
33,748640007934590976,what's the no. 1 killer of americans? these rankings have changed little over the years URL URL,unverified,Chinese
