id,text,label,language,original
724703995147751424,美国家庭协会获得 50 万人签署请愿书，抵制其跨性别卫生间政策 URL,unverified,Chinese,"american family association gets 500,000 to sign petition boycotting target over its transgender bathroom policy URL"
358591089462099968,this week's top story: george zimmerman wins florida state lottery URL,FALSE,English,this week's top story: george zimmerman wins florida state lottery URL
775672628493357057,clinton hides failing health? full disclosure now: covert doctors and nurses URL via @mailonline #maga @realdonaldtrump,unverified,English,clinton hides failing health? full disclosure now: covert doctors and nurses URL via @mailonline #maga @realdonaldtrump
364589696573124609,फुकुशिमा: अत्यधिक रेडियोधर्मी पानी समुद्र में रिस रहा है,FALSE,Hindi,fukushima: highly radioactive water seeping into the ocean URL
549927969032916993,"17-वर्षीय एक ट्रांसजेंडर ने टम्बलर पर एक सुसाइड नोट छोड़ा जिसमें अनुरोध किया गया: ""समाज को ठीक करें"" यूआरएल यूआरएल",unverified,Hindi,"a transgender 17-year old left a suicide note on tumblr pleading: ""fix society"" URL URL"
730516765525082112,एक कनाडाई किशोर को खोया हुआ माया शहर नहीं मिला: यूआरएल यूआरएल,unverified,Hindi,a canadian teen didn't find a lost mayan city: URL URL
407187197427593217,"फास्ट एंड द फ्यूरियस में पॉल वॉकर के किरदार का नाम ब्रायन था, परिवार के लड़के ब्रायन की भी इसी हफ्ते मौत हो गई, दोनों मौतों में कारें शामिल थीं। उम्म",TRUE,Hindi,"paul walker's character in fast and the furious was named brian"",brian from family guy also died this week,both deaths involved cars."" umm"
524933380929245184,正在发展的故事：议会山上开枪，士兵在战争纪念馆中枪杀 URL #ottawa URL,TRUE,Chinese,"developing story: shots fired on parliament hill, soldier shot at war memorial URL #ottawa URL"
535148463609356288,这个俄罗斯孩子被故障电线击中，现在他是现实生活中的磁力 URL URL,unverified,Chinese,this russian kid got zapped by a faulty electrical wire and now he's a real-life magneto URL URL
742055437932040193,"because the orlando shooter who murdered gay people was a registered democrat and muslim, the media is going silent. URL",unverified,English,"because the orlando shooter who murdered gay people was a registered democrat and muslim, the media is going silent. URL"
651486105628463105,黑人可以如此顽固地改变......#5pbagcharge URL,unverified,Chinese,black people can be so stubborn to change.... #5pbagcharge URL
693284114724700160,boeing wins contract to build new air force one presidential jets URL URL,non-rumor,English,boeing wins contract to build new air force one presidential jets URL URL
538760398003253248,कर्म🙀#फर्ग्यूसन प्रदर्शनकारी ने गलती से अपना ही घर जला दिया🏡 URL @शीपवोकेन @youngblkrepub #tcot URL,FALSE,Hindi,karma🙀#ferguson protestor accidentally burns🔥down own house🏡 URL @sheepawoken @youngblkrepub #tcot URL
544698560655400961,一位 17 岁股票高手的故事曾引起轰动，但传言其净资产为 7200 万美元，但很快就被揭穿了。网址,FALSE,Chinese,"the story of a 17-year-old stock whiz with a rumored net worth of $72 million made a splash, but quickly unraveled. URL"
714560810266132480,"उनके शीर्ष रणनीतिकार से दलबदलू बने मतदाताओं को पत्र - मुझे नहीं पता कि यह वास्तविक है या नहीं, लेकिन यह विश्वसनीय है। यूआरएल",unverified,Hindi,"letter to trump voters from his top strategist-turned-defector - i don’t know if this is real, but it’s believable. URL"
691064699853606913,nyc breaks record for snowiest day in its history URL #davidsnowie #blizzard2016 URL,non-rumor,English,nyc breaks record for snowiest day in its history URL #davidsnowie #blizzard2016 URL
691791477912014850,当米歇尔操纵无人机操纵杆时，奥巴马轻轻引导她的手 URL URL,non-rumor,Chinese,obama gently guides michelle’s hand as she maneuvers drone joystick URL URL
516636338679197697,"kfc ban wipes because they offend muslims URL ban islam instead, why are there halal only kfc's? URL",FALSE,English,"kfc ban wipes because they offend muslims URL ban islam instead, why are there halal only kfc's? URL"
